subject,body,label
sitara availability,"as a precautionary measure because of yesterday ' s power outage , the hardware
that sitara runs on has been rebooted . sitara should be available around
7 : 30 am thursday ( 06 / 29 ) . once the reboot is complete , all sitara
applications should be available .
if you are getting this message and no longer use the sitara applications ,
please contact the sitara hotline ( x 37049 ) to have your name removed .
scott mills",legitimate
God Bless!!,"Dear friend,

Greetings to you in the name of our heavenly God.
This mail might come to you as a surprise and the
temptation to ignore it as unserious could come into
your mind; but please, consider it a divine wish and
accept it with a deep sense of humility. My name is
JAMES HOWARD. I`m a 55 years old man. I am British
living in Dubai (United Arab Emirate). I was a
merchant and owned two businesses in Dubai. I was
also married with two children. My wife and two
children died in a car accident six years ago.
Before this happened my business and concern for
making money was all I lived for. I never really
cared about other values in life. But since the loss
of my family, I have found a new desire to assist
helpless families. I have been helping orphans in
orphanage/ motherless homes. I have donated some
money to orphans in Sudan, South Africa, Cameroon,
Brazil, Spain, Austria, Germany and some Asian
countries. ! Before I became ill, I kept $15 Million
in a long-term deposit account in a finance
company . Presently, I?m in a
hospital where I have been undergoing treatment for
oesophageal cancer. I have since lost my ability to
talk and my doctors have told me that I have only a
few months to live. It is my last wish to see this
money distributed to charity organizations. Because
relatives and friends have plundered so much of my
wealth since my illness, I cannot live with the
agony of entrusting this huge responsibility to any
of them. Please, I beg you in the name of God to
help me collect the deposit and the interest accrued
from the company and distributes it
amongst charity organizations. Use your judgement to
distribute the money and feel free to reimburse yourself
when you have the money for any cost you
incur during the process of collecting and
distributing the money to charity organizations. .
I?m willing to offer you a ! reward If you are willing
to help; please reply as soon as you can. May the
good Lord bless you and your family.

Regards,

James Howard


",phishing
flash : london summary 18 dec . 2000,"as this is the first few days of runing the flash dpr , if you have any
questions or thoughts on improvements pls call michael kass ex 32321",legitimate
re : lending ( short ) for 07 / 25 / 01,"i ' ve entered the following deals per the lending agreement with el paso . we ' ll be short 50 mw at palo tomorrow , and this energy will need to be procured in the hour - ahead market . please adjust our purchase from el paso ( 699933 ) to a price of $ 4 after purchasing energy elsewhere , or to the appropriate price plus $ 4 if you purchase from el paso . thank you for your careful attention to this process . . . . .
699933 - stwbom buys epe
pv / hlh
25 mw @ $ 60
699942 - stwbom sells stsw
pv / hlh
25 mw @ $ 60
699944 - stsw buys epe
pv / hlh
25 mw @ $ 60
if you have questions , ask me , and i ' ll give you answers .
thanks ,
kate
- - - - - original message - - - - -
from : williams iii , bill
sent : tuesday , july 24 , 2001 9 : 34 am
to : anderson , john ; bland , todd ; dean , craig ; guzman , mark ; harasin , leaf ; linder , eric ; merriss , steven ; meyers , bert ; porter , david v . ; slinger , ryan ; solberg , geir ; symes , kate ; williams iii , bill
cc : symes , kate ; gang , lisa
subject : lending ( short ) for 07 / 25 / 01
group ,
we are short 50 mws for tomorrow at pv through lending with epe . 25 mws will be under st - sw , 25 mws will be under st - wbom .
we are also short 65 mws for tomorrow at sp - 15 . 25 mws will be under st - wbom , 40 mws will be under st - cali .
both schedules are he 7 - 22 . all deals should be under appropriate books . please take extra time with the epe lending . we would like to do this size throughout august and want to make sure they have no problems . details regarding prices and deal numbers will be coming from kate .
thanks ,
bill",legitimate
Business Proposal,"Dear Sir,


I am ENGR. Ugochukwu William, I am the Executive Director Projects, of
the contract Award Commitee(CAC)of the Niger Delta Development
Commission(NDDC)
Through my search in the internet ,I got your email address and after
due verification with my colleagues,I decided to forward to you this
business proposal in anticipation that you may be in position to handle
this business with me.
We want a reliable person, who could assist us in receiving funds
resulted from over invoiced bills from contracts awarded under the
budget
allocation for NDDC.These bills had been approved for payment by the
concernd ministry.The contracts had been executed, commissioned and the
contractors had been paid their actual contractual sums.What we are
about
to receive now is a kick back from the contractors and Under the
protocol division as civil servants, we are forbiden to operate or own
foreign accounts,this is why am soliciting your assistance in this
manner.
On our part, all modalities had been worked out in ensuring a smooth
transaction .All I want from you is your mailing address and the name
that you want the cheques to be issued on. As soon as you indicate your
interest, further instructions will be passed on to you on the
procedure
that we will follow in accomplishing this deal.
On accomplishment of this deal you will be entitled to 10% of the total
sum.Note,there will be no financial obligation required from you and
this transaction is 100% risk free.
If this proposal is accepted by you, kindly reach me immediately via
e-mail furnishing me with your confidential telephone numbers
Looking forward to hearing from you.

Best regards


ENGR. Ugochukwu William





",phishing
start date : 2 / 6 / 02 ; hourahead hour : 8 ;,"start date : 2 / 6 / 02 ; hourahead hour : 8 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \\ portland \\ westdesk \\ california scheduling \\ iso final schedules \\ 2002020608 . txt
# # # cannot locate a preferred or revised _ preferred schedule that matches the final individual interchange schedule . unable to assign deal number .",legitimate
meter 981594 - san jacinto low pressure del to defs,"fyi -
duke energy field services will be reworking the wilcox plant on 9 / 26 f rom
7 am to 12 noon and will require that hpl shut - in the 20 m del . for that time
frame .
should you have any further questions , please call me at 35251 .
mary",legitimate
teesside update,"dear enron employees :
i ' m sorry to report that a third enron employee has died in the hospital as a result of injuries from yesterday ' s explosion and fire at teesside power station . to lose another employee is a devastating blow to all of us . a fourth employee remains in the hospital and is in stable condition . please keep these employees and their families in your thoughts and prayers . we will release their names as soon as all family members and relatives have been notified .
i ' m in the u . k . now and will be visiting with the employees and families who ' ve been affected by this tragic accident . i will also visit the site and will meet with authorities in order to determine the cause of the explosion . i will keep you posted on any new developments .",legitimate
hedge effectiveness test for fair value hedges,"gentlemen :
we have had favorable responses regarding the use of our volatility
reduction method ( roger , i ' ve attached a copy of our article in case you
hadn ' t seen it ) . however , there continued to be a quibble about how to
create the set of data points that would be inputs into the testing process .
last week the consulting arm of a "" big five "" accounting firm indicated that
the following method proposed by us would be acceptable . we believe this
method overcomes the statistical problems that arise from using interest
rate differences from overlapping ( "" rolling "" ) quarters .
method :
1 ) calculate daily yield curve changes expressed as ratios , using historical
rates from the most recent , say , two years . ( note : no overlap ) . this
results in a set of around 494 vectors of ratios ( approximately 247 trading
days per
year ) .
example :
if the first three yield curves in the historical set look like this :
19980801 6 . 5 6 . 6 6 . 7 . . . . . . . . . 7 . 2
19980802 6 . 3 6 . 3 6 . 6 . . . . . . . . . 6 . 9
19980803 6 . 6 6 . 8 6 . 9 . . . . . . . . . 7 . 1
then the change from 8 / 1 / 98 to 8 / 2 / 98 is :
6 . 3 / 6 . 5 6 . 3 / 6 . 6 6 . 6 / 6 . 7 . . . . . . . . . . 6 . 9 / 7 . 1
and the change from 8 / 2 / 98 to 8 / 3 / 98 is :
6 . 6 / 6 . 3 6 . 8 / 6 . 3 6 . 9 / 6 . 6 . . . . . . . . . 7 . 1 / 6 . 9
2 ) randomly select 62 of these "" ratio "" vectors ( approx . 62 trading days in a
quarter ) .
3 ) multiply these ratio vectors together to get a single vector ( ie , the 62
6 mo ratios are multiplied together , the 62 lyr ratios are multiplied
togeter , etc . ) . the result represents a single quarterly yield curve
transformation . apply it to "" today ' s "" yield curve . the resulting yield
curve represents one simulated quarterly change in interest rates
4 ) repeat steps 2 and 3 until an adequate number of yield curves are
generated , say 100 .
5 ) proceed with testing process .
i would be interested in your comments .
leslie abreo
andrew kalotay associates , inc .
61 broadway , ste 3025
new york ny 10006
phone : ( 212 ) 482 0900
fax : ( 212 ) 482 0529
email : leslie . abreo @ kalotay . com
visit aka ' s website at http : / / www . kalotay . com
- fasl 33 article . pdf",legitimate
capacity center due diligence,"julie : attached is a document which attempts to summarize our due diligence of the capacity center software . please let me know if you ' d like to get together to go through this information and discuss any next steps .
tommy yanowski
x 36858",legitimate
